Battery Voltage (V),Power (W),Humidity (%rel),Epoch Time,Significant Wave Height (m),Peak Period (s),Mean Period (s),Peak Direction (deg),Peak Directional Spread (deg),Mean Direction (deg),Mean Directional Spread (deg),Latitude (deg),Longitude (deg),f,df,a1,b1,a2,b2,varianceDensity,direction,directionalSpread,Wind Speed (m/s),Wind Direction (deg),Surface Temperature (°C),Partition0 Start Frequency (hz),Partition0 End Frequency (hz),Partition0 Significant Wave Height (m),Partition0 Mean Period (s),Partition0 Mean Direction (deg),Partition0 Mean Directional Spread (deg),Partition1 Start Frequency (hz),Partition1 End Frequency (hz),Partition1 Significant Wave Height (m),Partition1 Mean Period (s),Partition1 Mean Direction (deg),Partition1 Mean Directional Spread (deg),Mean Barometric Pressure (hPa),Processing Source
4.04,0.03,58.4,1748036400,-,-,-,-,-,-,-,12.5910833,-81.6879500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.04,0.01,56,1748031000,0.623,7.877,3.125,174.71,76.613,62.568,66.02,12.59112,-81.68795,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.35156;0.38086;0.41016;0.43945;0.46875;0.49805;0.6543,0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.0293;0.0293;0.0293;0.0293;0.0293;0.0293;0.2832,-0.017595;-0.058651;-0.134897;-0.1652;-0.097752;-0.148583;-0.247312;-0.239492;-0.190616;-0.050831;-0.009775;-0.080156;-0.269795;-0.331378;-0.177908;-0.134897;-0.246334;-0.213099;-0.191593;-0.142717;-0.14956;-0.219941;-0.274682;-0.378299;-0.42131;-0.403715;-0.399804;-0.441838;-0.397849;-0.488759;-0.391007;-0.42522;-0.418377;-0.439883;-0.450635;-0.495601;-0.40567;-0.406647;-0.173998,-0.105572;-0.051808;-0.107527;-0.080156;-0.12219;-0.177908;-0.192571;-0.089932;-0.006843;0.032258;0.105572;0.164223;-0.02737;-0.193548;-0.025415;-0.079179;-0.236559;-0.1652;-0.13783;-0.119257;-0.144673;-0.177908;-0.285435;-0.193548;-0.150538;-0.177908;-0.168133;-0.158358;-0.339198;-0.325513;-0.321603;-0.309873;-0.296188;-0.264907;-0.224829;-0.192571;-0.215054;-0.176931;-0.096774,-0.083089;-0.059629;0.061584;0.128055;-0.029325;-0.14565;-0.01564;0.075269;0.031281;-0.033236;-0.036168;0.038123;0.135875;0.215054;0.176931;0.052786;0.004888;-0.039101;0.050831;0.109482;0.111437;0.147605;0.043988;0.073314;0.051808;-0.046921;0.047898;0.170088;0.045943;0.091887;-0.106549;0.013685;-0.042033;0.075269;0.180841;0.361681;0.305963;0.330401;0.28348,0.100684;0.042033;0.190616;0.31085;0.228739;0.254154;0.294233;0.258065;0.300098;0.26784;0.193548;0.270772;0.380254;0.304008;0.296188;0.323558;0.377322;0.29521;0.129032;0.013685;-0.050831;0.030303;0.234604;0.292278;0.239492;0.221896;0.112414;-0.022483;0.085044;0.218964;0.113392;0.089932;0.105572;0.091887;0.206256;0.223851;0.215054;0.239492;0.204301,0.007251968;0.018003968000000002;0.021255168;0.018254847999999997;0.016253952000000002;0.014253056;0.014253056;0.027256831999999998;0.063765504;0.09002188800000001;0.10052403200000001;0.07501824;0.063765504;0.054763519999999996;0.039259136;0.041010176;0.043260928;0.032507904000000004;0.03775897599999999;0.039759872;0.041010176;0.039759872;0.03775897599999999;0.042760192;0.049512447999999994;0.045761536;0.049261568;0.049512447999999994;0.05051187199999999;0.056763392;0.051012608;0.062765056;0.057264128;0.05426278400000001;0.05026201600000001;0.043510784;0.034008064;0.028006399999999997;0.010002432,9.462146191425632;48.544976803133466;51.441494706174865;64.11706901756929;38.65980825409008;39.86753937848391;52.093673497857935;69.41826551011246;87.94399883417032;122.39973200237253;174.71001844356994;153.98334787818624;84.20731013041768;59.71207439089392;81.87003290808923;59.58881572113944;46.15965600160297;52.21620746010001;54.26915472948991;50.117237130122476;45.95155448442188;51.030962650482934;43.900183631580205;62.90448658757896;70.33771643190494;66.2180058338198;67.19136891758865;70.28194577547595;49.54976205429654;56.336424933600085;50.562725765960636;53.91784003497264;54.70359672447597;58.94274506631558;63.48465845106216;68.7658371121118;62.071018634615484;66.48627350949516;60.91811555259574,76.56962273238085;77.79340469160594;73.7088006808762;73.21229338787961;74.41927558434392;71.0193440889217;67.1391406303501;69.89988324269252;72.89235677619952;78.55154274840606;76.61268164950144;73.25167422319838;69.1747892214469;63.60809031293925;73.3871864837232;74.4220013793471;65.75165072284766;69.24813047597718;70.82374674640124;73.10614225554403;72.10701302880149;68.61693213027641;62.96618442199025;61.44627522519365;60.23436939565579;60.57240327076503;60.97526910517828;59.02526463505412;55.97311301752281;52.05823662697495;56.93507984869086;55.77740299526964;56.568799969749584;56.517529756835195;57.08874116156706;55.44981772034406;59.590506254356555;60.44795366791019;72.51485461696417,8.80,62.86,29.36,-,-,-,-,-,-,-,-,-,-,-,-,1010.8000000000001,embedded
4.04,0.01,56,1748029200,-,-,-,-,-,-,-,12.5911167,-81.6879500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.04,0.01,64,1748023800,0.6,7.877,3.128,169.825,74.488,66.343,66.611,12.59108,-81.68797,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.35156;0.38086;0.41016;0.43945;0.46875;0.49805;0.6543,0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.0293;0.0293;0.0293;0.0293;0.0293;0.0293;0.2832,-0.173998;-0.15738;-0.151515;-0.293255;-0.330401;-0.297165;-0.323558;-0.246334;-0.14174;-0.018573;-0.02737;-0.056696;-0.193548;-0.233627;-0.196481;-0.187683;-0.214076;-0.26393;-0.319648;-0.315738;-0.370479;-0.288368;-0.235582;-0.320626;-0.350929;-0.330401;-0.341153;-0.341153;-0.368524;-0.428152;-0.44086;-0.391007;-0.390029;-0.474096;-0.432063;-0.487781;-0.423265;-0.364614;-0.167155,0.009775;-0.050831;-0.117302;-0.095797;-0.109482;-0.138807;-0.16129;0.004888;-0.041056;-0.030303;0.152493;0.26784;0.013685;-0.213099;-0.068426;-0.010753;-0.104594;-0.144673;-0.102639;-0.257087;-0.273705;-0.117302;-0.131965;-0.154448;-0.134897;-0.197458;-0.202346;-0.253177;-0.319648;-0.272727;-0.259042;-0.288368;-0.312805;-0.175953;-0.227761;-0.173021;-0.160313;-0.124145;-0.070381,0.033236;0.112414;0.093842;0.160313;0.162268;0.044966;0.006843;0.094819;0.061584;0.01564;-0.063539;-0.12219;-0.010753;0.128055;0.146628;-0.041056;0.055718;0.082111;0.156403;0.090909;0.041056;0.127077;0.127077;0.055718;0.11437;0.093842;0.135875;0.125122;0.013685;0.072336;0.089932;-0.060606;0.005865;0.218964;0.228739;0.412512;0.31085;0.343109;0.2913,-0.002933;0.035191;0.129032;0.254154;0.290323;0.233627;0.260997;0.214076;0.265885;0.481916;0.40958;0.234604;0.166178;0.269795;0.216031;0.342131;0.215054;0.004888;0.031281;0.193548;0.246334;0.125122;0.158358;0.073314;0.079179;0.185728;0.12219;0.045943;0.216031;0.061584;0.035191;0.02346;0.067449;0.094819;0.185728;0.160313;0.269795;0.172043;0.173998,0.014503936;0.030757888000000004;0.028006399999999997;0.025756671999999998;0.024255488000000002;0.018003968000000002;0.018504704;0.033508352;0.055513088;0.073268224;0.081769472;0.07626854400000001;0.05951488;0.05051187199999999;0.033007616000000004;0.032258048000000004;0.033258496;0.028257280000000003;0.031007744;0.030757888000000004;0.028756992000000002;0.030007296;0.039259136;0.041509888;0.040509439999999994;0.032258048000000004;0.039259136;0.035258368;0.038259712;0.041010176;0.047261696000000006;0.054012928;0.049762304;0.057264128;0.048761856;0.043510784;0.03425792;0.026756095999999997;0.00950272,93.2154286680626;72.10044668584464;52.25317935869043;71.90944590002607;71.66681792338272;64.96252737041141;63.504264544262924;91.13676967620049;73.84596427048513;31.50453274102381;169.82468515748423;168.04813682581747;94.04442309256748;47.63101083313336;70.79893978746333;86.72091389902249;63.96062881279886;61.27068793737993;72.19817118048434;50.84608729594311;53.54349993621071;67.86454857489935;60.74393861857982;64.27952694893031;68.97325539849857;59.13613664910116;59.326807098670656;53.42009303072058;49.06249323075542;57.503417985861574;59.56221373660867;53.59119339973222;51.270231247557376;69.63841315064752;62.204148440229005;70.46987413411813;69.25565420362068;71.19714566344987;67.16636114593558,73.63021048182314;74.02538562851635;72.85285584295161;67.38015996977003;65.42426872388484;66.42429987415795;64.7452237096228;70.34174212374988;74.81142498133158;79.57548751393546;74.48760883641124;69.0515218220417;72.74392739559508;67.00342405670827;72.10827878040487;73.01601201189095;70.71973840068387;67.74577955450246;66.04081072063838;62.388444174216374;59.50942837408509;67.24322481915459;69.2295560933376;65.03075911486592;64.00924640964163;63.54882507157163;62.93948328577392;61.45174466490732;57.98848978593557;56.8565945677734;56.64278927762042;58.101303137631085;57.29752196920777;56.968600141802355;57.955500968880656;56.28077381822947;59.94970703635277;63.53534913848855;73.31317728329805,9.60,68.57,29.22,-,-,-,-,-,-,-,-,-,-,-,-,1011.8000000000001,embedded
4.04,0.01,64,1748022000,-,-,-,-,-,-,-,12.5911000,-81.6879667,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.04,0.02,72,1748016600,0.628,7.314,3.112,128.541,71.507,71.278,65.105,12.59110,-81.68795,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.35156;0.38086;0.41016;0.43945;0.46875;0.49805;0.6543,0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.0293;0.0293;0.0293;0.0293;0.0293;0.0293;0.2832,-0.108504;-0.230694;-0.241447;-0.245357;-0.269795;-0.205279;-0.258064;-0.290323;-0.167155;-0.101662;-0.090909;-0.173021;-0.312805;-0.248289;-0.215054;-0.208211;-0.186706;-0.193548;-0.1652;-0.243402;-0.350929;-0.357771;-0.343108;-0.470186;-0.42913;-0.415445;-0.404692;-0.435973;-0.469208;-0.482893;-0.460411;-0.460411;-0.432063;-0.513196;-0.482893;-0.466276;-0.437928;-0.40176;-0.202346,0.064516;0.021505;-0.032258;-0.134897;-0.104594;-0.080156;-0.102639;-0.036168;-0.135875;-0.053763;0.130987;0.13783;-0.057673;-0.160313;0.030303;-0.004888;-0.246334;-0.327468;-0.253177;-0.130987;-0.140762;-0.109482;-0.103617;-0.16129;-0.142717;-0.193548;-0.217986;-0.164223;-0.217986;-0.228739;-0.14565;-0.210166;-0.219941;-0.140762;-0.106549;-0.172043;-0.181818;-0.094819;-0.060606,0.184751;0.182796;0.005865;0.002933;0.094819;0.053763;0.01955;-0.01955;-0.026393;0.035191;-0.024438;-0.058651;0.120235;-0.044966;-0.017595;0.088954;0.1261;0.203324;0.01955;0.050831;0.16129;0.024438;-0.037146;0.13783;0.213099;0.148583;0.033236;-0.021505;-0.045943;0.01955;0.032258;0.063539;0.099707;0.130987;0.324536;0.318671;0.304985;0.347996;0.276637,-0.083089;0.032258;0.235582;0.341153;0.407625;0.130987;0.070381;0.219941;0.317693;0.365591;0.286413;0.11437;0.197458;0.449658;0.354839;0.347996;0.346041;0.314761;0.12219;0.099707;0.14956;0.121212;0.123167;0.266862;0.258065;0.324536;0.243402;0.066471;0.15738;0.069404;0.012708;0.092864;0.082111;0.067449;0.049853;0.128055;0.244379;0.197458;0.200391,0.012253183999999999;0.020004864;0.016004096000000002;0.015253504;0.013253632;0.015003648;0.013753344;0.023005184;0.045510656;0.075268096;0.088020992;0.10052403200000001;0.07576883200000001;0.055263232;0.05326336;0.046511104000000004;0.043010047999999995;0.044260351999999996;0.035258368;0.024756223999999997;0.040009728;0.058013696000000003;0.047511552000000006;0.04701184;0.048011264;0.043760639999999996;0.043010047999999995;0.052013055999999995;0.06351564800000001;0.06401536000000001;0.052013055999999995;0.052512768;0.053513216;0.051762176;0.051262464;0.044010496;0.035008512000000006;0.030757888000000004;0.010252288,120.73552987768713;95.32564881279092;82.39018643963277;61.1980547740024;68.80970741512056;68.67067456994414;68.3109524624349;82.89876426259207;50.89343267318981;62.12829309082815;145.23816461989216;128.54112524817114;79.55348528397496;57.150843073430565;98.02067317128484;88.65516069275793;37.15988606384258;30.584956202857597;33.12476676894357;61.713044745413185;68.14366318328047;72.98529271789982;73.19593115301808;71.06626526347685;71.60427380823853;65.0200751365631;61.69102161316408;69.35953235320596;65.08122619988433;64.65380365651231;72.44534816895077;65.46449911123761;63.02170136528787;74.66183827284385;77.55721503772554;69.74732831570066;67.45285820295703;76.72067197797571;73.32616538270332,75.74165628475367;71.02392934609668;70.47183608644896;68.75516919964343;68.30656327481631;71.54527277694213;68.86342005903795;68.15225420508725;71.77251300810836;76.22696027154593;74.28844006863966;71.50692811164055;66.91218578144208;68.00859784801612;71.69172110516183;72.098566274019;67.35143818320178;63.781839264268264;67.68146581805138;68.92616319706632;63.89919279900388;64.10229892469034;64.90311601531867;57.462792958142195;59.96984513370308;59.63618289445767;59.56189150648568;59.21860214707093;56.29162366640222;55.29391719613716;58.267312252616556;56.94458611301283;58.15890722728699;55.42309184705799;57.60957838208212;57.46723151974185;58.757004157536166;62.09142030069343;71.96371145327912,9.60,74.29,29.10,-,-,-,-,-,-,-,-,-,-,-,-,1012,embedded
4.04,0.02,72,1748014800,-,-,-,-,-,-,-,12.5910667,-81.6879500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.04,0.69,79.2,1748009400,0.638,7.877,3.133,149.494,72.024,66.244,65.446,12.59107,-81.68797,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.35156;0.38086;0.41016;0.43945;0.46875;0.49805;0.6543,0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.0293;0.0293;0.0293;0.0293;0.0293;0.0293;0.2832,-0.12219;-0.152493;-0.160313;-0.164223;-0.093842;-0.162268;-0.163245;-0.248289;-0.276637;-0.244379;-0.106549;-0.050831;-0.231672;-0.252199;-0.218964;-0.210166;-0.187683;-0.232649;-0.28348;-0.333333;-0.368524;-0.360704;-0.410557;-0.491691;-0.423265;-0.384164;-0.44868;-0.427175;-0.488759;-0.439883;-0.406647;-0.450635;-0.428152;-0.411535;-0.42131;-0.442815;-0.422287;-0.340176;-0.14565,-0.026393;-0.105572;-0.136852;-0.127077;-0.190616;-0.194526;-0.136852;-0.16911;-0.151515;-0.111437;0.180841;0.27175;0.052786;-0.086999;-0.004888;-0.037146;-0.255132;-0.222874;-0.198436;-0.239492;-0.202346;-0.13001;-0.100684;-0.046921;-0.086021;-0.009775;-0.235582;-0.355816;-0.1652;-0.256109;-0.27566;-0.218964;-0.28348;-0.309873;-0.200391;-0.164223;-0.147605;-0.127077;-0.088954,-0.097752;-0.051808;0.120235;-0.017595;-0.187683;-0.112414;-0.193548;-0.063539;0.045943;0.061584;-0.009775;-0.093842;0.00782;-0.029325;0.016618;0.075269;-0.039101;0.136852;0.059629;0.13001;0.081134;0.159335;0.171066;0.237537;0.200391;0.130987;0.064516;-0.081134;0.135875;0.089932;0.089932;0.069404;0.12219;0.067449;0.172043;0.262952;0.337243;0.238514;0.252199,-0.032258;0.030303;0.077224;0.038123;0.038123;0.146628;0.134897;0.193548;0.001955;0.079179;0.255132;0.344086;0.376344;0.248289;0.213099;0.224829;0.16911;0.16911;0.218964;0.26002;0.164223;0.116325;0.009775;0.073314;0.174976;0.02737;0.176931;0.228739;0.207234;0.178886;0.188661;0.083089;0.197458;0.212121;0.177908;0.243402;0.315738;0.203324;0.16911,0.012503040000000002;0.023256064;0.026006527999999998;0.021005312;0.017504256000000003;0.018254847999999997;0.014503936;0.026756095999999997;0.040509439999999994;0.061764608;0.09077248;0.08452096;0.061764608;0.045510656;0.059264;0.053012479999999994;0.046261248;0.042760192;0.03775897599999999;0.05051187199999999;0.055013376;0.047261696000000006;0.051012608;0.047761408000000005;0.042010624;0.054763519999999996;0.071517184;0.055013376;0.053012479999999994;0.060765184;0.055763968000000004;0.058264576;0.060765184;0.052762624;0.05001216000000001;0.044260351999999996;0.045260800000000004;0.024255488000000002;0.010002432,77.81138471827506;55.30486600658901;49.51410443469513;52.267024548840254;26.211445017448455;39.83389324596163;50.02613016384288;55.74116561993344;61.29033360216829;65.4869800325825;149.4939999712107;169.40522109764072;102.83560353428456;70.967525829377;88.72118127586253;79.97671752021881;36.339351106497645;46.22931290324732;55.007979801441365;54.30363425532232;61.23006917508735;70.17911122951222;76.22085917631989;84.54889547374034;78.51212006822544;88.54243130089947;62.298024583253834;50.20734712234213;71.32480376293961;59.791148885448024;55.867234060912324;64.08483647757873;56.49140510230359;53.02139492520098;64.56246898339487;69.652125879018;70.73358177744808;69.51619682039524;58.585998899458616,75.79484773078798;73.1292055270067;71.98405910041;72.12680025173051;71.90729450864806;70.01720146946143;71.88190133280366;67.7734681306904;67.04281225994659;69.29769491962558;72.0244373822185;68.92360242843546;70.74998734453986;69.38313151769546;71.60741384571169;71.86346030365641;66.97830167577885;66.71071617001196;65.52636333704127;62.21552963732002;61.68704116310999;63.625728769134994;61.56444134462468;57.6428169625751;61.07215869812043;63.580848403241646;56.90674790978231;53.99483300206941;56.376085369285775;56.77732870908764;57.793575632384325;57.23753143116146;56.51740118964153;56.42091289396512;59.18190688238376;58.86224585979599;60.23743072105078;64.6637275604607;73.79084407563862,10.80,74.29,29.00,-,-,-,-,-,-,-,-,-,-,-,-,1011.7,embedded
4.04,0.69,79.2,1748007600,-,-,-,-,-,-,-,12.5910500,-81.6879667,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.01,-0.04,84,1748002200,0.647,7.877,3.162,98.455,71.59,63.418,63.258,12.59105,-81.68795,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.35156;0.38086;0.41016;0.43945;0.46875;0.49805;0.6543,0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.0293;0.0293;0.0293;0.0293;0.0293;0.0293;0.2832,-0.024438;-0.040078;-0.1652;-0.14956;-0.219941;-0.324536;-0.322581;-0.285435;-0.253177;-0.240469;-0.217009;-0.222874;-0.237537;-0.222874;-0.249267;-0.257087;-0.268817;-0.245357;-0.251222;-0.242424;-0.342131;-0.391007;-0.406647;-0.382209;-0.399804;-0.384164;-0.44086;-0.428152;-0.493646;-0.454545;-0.486804;-0.536657;-0.43304;-0.485826;-0.540567;-0.451613;-0.419355;-0.352884;-0.1652,-0.209189;-0.142717;-0.010753;0.053763;0.01173;-0.117302;-0.127077;-0.196481;-0.274682;-0.27175;0.032258;0.205279;0.052786;-0.106549;-0.176931;-0.132942;-0.186706;-0.320626;-0.212121;-0.063539;-0.117302;-0.191593;-0.208211;-0.199413;-0.193548;-0.191593;-0.245357;-0.213099;-0.253177;-0.255132;-0.209189;-0.274682;-0.349951;-0.342131;-0.175953;-0.187683;-0.164223;-0.164223;-0.095797,0.106549;0.151515;0.160313;-0.01564;-0.135875;-0.087977;-0.008798;0.063539;0.060606;0.092864;-0.01564;-0.170088;0.029326;0.150538;0.000978;-0.014663;0.071359;-0.020528;0.060606;0.072336;0.043011;0.15738;0.16911;0.152493;0.140762;0.029326;0.116325;0.152493;0.143695;0.068426;0.097752;0.179863;0.088954;0.185728;0.40176;0.28348;0.331378;0.27957;0.231672,0.182796;0.221896;0.209189;0.101662;0.125122;0.262952;0.210166;0.159335;0.052786;0.170088;0.099707;0.164223;0.197458;0.160313;0.175953;0.215054;0.244379;0.163245;0.088954;0.142718;0.11437;0.167155;0.185728;0.236559;0.210166;0.060606;0.084066;0.138807;0.320626;0.315738;0.158358;0.305963;0.308895;0.398827;0.273705;0.313783;0.245357;0.31085;0.293255,0.010002432;0.016753664;0.021505023999999998;0.01575424;0.016253952000000002;0.016004096000000002;0.017754112000000002;0.034008064;0.059014144;0.07926886399999998;0.08452096;0.08452096;0.063765504;0.06451609600000001;0.05951488;0.052512768;0.041010176;0.038259712;0.042760192;0.039759872;0.048262144;0.059014144;0.056513536;0.046011392;0.048011264;0.051262464;0.062765056;0.068267008;0.063765504;0.06651596800000001;0.064265216;0.074267648;0.058264576;0.054763519999999996;0.059264;0.040509439999999994;0.033007616000000004;0.027256831999999998;0.010002432,6.663238460672233;15.68588298124223;86.27582554368485;109.77221527364853;93.05283402507467;70.12785051884441;68.49862158711949;55.45817210613279;42.667057431445414;41.505310881151104;98.45500324178226;132.64674705559634;102.52880770915152;64.44901381640727;54.6326713222993;62.65610866551492;55.21821046897935;37.42479279146386;49.823698089113805;75.31321217444037;71.07536414692663;63.8951968009992;62.88668997874851;62.447234531377944;64.16804113941902;63.49332368186896;60.902235391958584;63.53963884957818;62.848002034436036;60.69489631521287;66.74587717043937;62.89486123643519;51.05741196359321;54.84582125747346;71.97008053063189;67.43302604700239;68.61426461245702;65.04396105623778;59.891198035208845,71.99179388809448;74.78196295839463;74.01809376283211;74.31111461943446;71.55077249393948;65.57378234485827;65.49241409255457;65.5017512687647;64.13226408893192;64.6773529706851;71.5902248720008;67.64758999385734;70.48398915960821;70.3113572467581;67.51780424967168;68.30340335483179;66.45843491701932;62.568778609188804;66.38415096504784;70.14405472221786;64.73757180863647;60.88337338577965;59.716835661880644;61.115966997740095;60.40892557974092;61.213243564496416;57.03523544869789;58.528565144273905;54.065864623118955;56.06491695204759;55.559341888057084;51.0627932172206;53.9453157206857;51.61673763991167;53.227605703386864;57.91923109167744;60.07242744253728;63.32543186548107;72.88211250171153,11.60,240.00,28.94,-,-,-,-,-,-,-,-,-,-,-,-,1010.7,embedded
4.01,-0.04,84,1748000400,-,-,-,-,-,-,-,12.5910333,-81.6879333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
