Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14981807240092177,28.0071691626066,58217.828125,54915.05115695671,36.394541911968496,1542.8195472150585,1023.444292405939
0.44999999999999996,0.44945232513501454,28.003554074763095,58216.687376893118,54917.720512455395,36.396441639382239,1542.8186687216223,1023.4481932377603
0.74999999999999989,0.74908633916503786,28.001095193745581,58212.049293268195,54915.892851340112,36.394978307721615,1542.8167754207591,1023.4491830994991
1.05,1.0487202343234721,27.996324678617075,58201.98553421766,54911.341387510365,36.391473676105676,1542.8076467520291,1023.4493956320171
1.35,1.3483541702254422,27.996636295966152,58200.045028525194,54909.18772985891,36.3897704886399,1542.8115849981812,1023.4492951133315
1.65,1.6479879710941938,27.998245476563895,58203.178329353759,54910.476569541825,36.390644802700322,1542.82109713522,1023.4507084327406
1.9500000000000002,1.947620983854093,28.000806017377577,58213.491300360052,54917.552839926029,36.395850582099548,1542.8372755118151,1023.4550693057917
2.25,2.2472537961367314,27.997998089454491,58201.495831859436,54909.145562085236,36.389463986261447,1542.829412752383,1023.452468305034
2.55,2.5468869255472115,27.999633711174123,58203.566993817236,54909.4049507987,36.389568139417996,1542.8381690575311,1023.4532932318585
2.85,2.8465198563657061,27.997616750324124,58199.559501848846,54907.713846861712,36.38820764722675,1542.8373542775648,1023.45421530274
3.15,3.14615227122156,27.997260124816897,58202.296560944262,54910.665592776582,36.390323207817019,1542.8438595836863,1023.4572083167016
3.4499999999999997,3.4457849385220078,27.994795945270138,58187.641806014915,54899.392259296219,36.381793088418789,1542.83448613328,1023.4528811036292
3.75,3.7454166643246212,27.98943732617381,58197.156882996838,54913.92230187988,36.392563462126311,1542.8391465597231,1023.4640304656118
4.05,4.0450467337347726,27.987114665029377,58191.93804932927,54911.404798320706,36.390584108516322,1542.8370045131355,1023.4645869784656
4.35,4.3446768758893484,27.987395410114789,58188.886164905954,54908.234038050345,36.388119989167095,1542.8400708476931,1023.4639238563665
4.6499999999999995,4.6443075050206861,27.983193817449955,58175.122135143261,54899.599234789188,36.381561232942779,1542.8289598900626,1023.4616505452508
4.9499999999999993,4.9439371363429743,27.97976230259188,58184.796893486251,54912.285715030215,36.390954890816069,1542.8363976962435,1023.4711307819825
5.2499999999999991,5.2435659811128792,27.975421399680798,58168.080203583944,54901.007549072965,36.382418152618804,1542.8228877164297,1023.4674142247673
5.55,5.5431945016247379,27.978750359860026,58183.396218445523,54912.012668506482,36.390564366428904,1542.8438671092779,1023.4737363330752
5.85,5.8428219110279986,27.976515635970053,58180.403409879633,54911.5043821193,36.390088261321047,1542.8435049601835,1023.4753952148973
6.1499999999999995,6.142448454103195,27.973842153000543,58182.286643182109,54916.05316746555,36.393394887386862,1542.8461754166,1023.480045146196
6.4499999999999993,6.4420746159205216,27.973329207044525,58176.009389169056,54910.660005707796,36.38926684916062,1542.8457384199369,1023.4783901867398
6.7499999999999991,6.7417010380231552,27.971175374201128,58170.536954261392,54907.727215160623,36.386976966685445,1542.843636390435,1023.4786572998489
7.0499999999999989,7.0413265957033815,27.967981845506856,58174.123212116712,54914.423001611387,36.391888878780129,1542.8468588838662,1023.4846860330072
7.35,7.3409513426449609,27.969441520238988,58174.152698995385,54912.937563035979,36.390687561898808,1542.8538517918014,1023.4845863917952
7.6499999999999995,7.6405760279932933,27.967452942065062,58170.174680597658,54911.24402774591,36.389325023159174,1542.8530924912704,1023.4854971695238
7.9499999999999993,7.9401995361362516,27.96783771753185,58182.701238953618,54922.669818269453,36.397781464303094,1542.8679284923521,1023.4930191996085
8.25,8.23982237280641,27.971604163927811,58182.084696211816,54918.182689124791,36.394338126078381,1542.8776236494014,1023.4904748904979
8.5499999999999989,8.5394452067104325,27.969440653247947,58181.649873925795,54920.015348848363,36.395613400566447,1542.8792676808409,1023.4934284442952
8.85,8.8390670751045732,27.967811848788788,58184.16213807281,54924.075685980315,36.398556171008124,1542.8838493476706,1023.4974614958725
9.1499999999999986,9.1386890822572813,27.968365375981627,58174.189875942386,54914.088308189821,36.390992716814523,1542.8821263004427,1023.4928708063874
9.45,9.4383110248303268,27.967620538011744,58180.830678628838,54921.129255632586,36.396166780522947,1542.8910095272286,1023.498293047418
9.75,9.7379321837063788,27.965712177881688,58175.882819329272,54918.437256115416,36.394057317561568,1542.8896369290542,1023.4986153008355
10.049999999999999,10.037553415126251,27.965986836561179,58173.265136904964,54915.681375306056,36.391903661361063,1542.8930178344431,1023.4981877766215
10.35,10.337174248332698,27.966999092219424,58179.372666706273,54920.397288707754,36.3953411255865,1542.903929407066,1023.5017262289722
10.649999999999999,10.636794767687681,27.968749540345318,58178.199477388524,54917.474909498538,36.393065319125974,1542.9104262248911,1023.5007223412047
10.978800859474498,10.965179201392935,27.969229950168465,58185.204732498387,54923.589400145072,36.397539399478177,1542.9217487433193,1023.5053387144669
