% Device,CC1314009
% File name,CC1314009_20211112_173037
% Cast time (UTC),2021-11-12 17:30:37
% Cast time (local),2021-11-12 12:30:37
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,12.6095516
% Start longitude,-81.7036656
% Start altitude,-0.017999999225139618
% Start GPS horizontal error(Meter),17.75200080871582
% Start GPS vertical error(Meter),33.449001312255859
% Start GPS number of satellites,8
% End latitude,12.6094861
% End longitude,-81.7037872
% End altitude,-1.5809999704360962
% End GPS horizontal error(Meter),9.005000114440918
% End GPS vertical error(Meter),19.562999725341797
% End GPS number of satellites,9
% Cast duration (Seconds),57
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2019-11-05
% Temperature calibration date,2019-10-16
% Pressure calibration date,2019-10-16
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14991489951930981,29.131852819247989,58896.679687499993,54401.1304066778,36.009577673999637,1544.8441168469119,1022.7810471130114
0.44999999999999996,0.44974381462287821,29.129036610655049,58900.812263621934,54407.778109270454,36.014463198147013,1544.8483154996575,1022.7869454353728
0.74999999999999989,0.74957235652439513,29.125826944693976,58886.989676329678,54398.2355562906,36.007251674444156,1544.8389950159647,1022.7838892271238
1.05,1.0494000771032928,29.128300637536363,58906.405764085219,54413.684773280489,36.018700538166613,1544.8613159578238,1022.7929390094616
1.35,1.3492273014920884,29.12336450950189,58885.30086185204,54399.150344315851,36.007763176220614,1544.844419732297,1022.7876645492133
1.65,1.649055203443532,29.123190973711189,58884.665700096921,54398.737990798145,36.007366341114334,1544.8486958364254,1022.7887064175551
1.9500000000000002,1.9488821413232269,29.117810276937611,58884.38832515281,54403.890349427616,36.011140731653342,1544.8462765923662,1022.7946320418333
2.25,2.2487078432253749,29.113707100319729,58880.493284366545,54404.416588212865,36.011455059997033,1544.8429439908266,1022.7975290246236
2.55,2.5485319019369146,29.106852897903408,58883.008041068038,54413.632365734673,36.018269288554151,1544.840575676639,1022.8062330418954
2.85,2.848355454768686,29.10591122625333,58869.653819974439,54402.238577778204,36.009668599217392,1544.8346159889632,1022.8013705465672
